Table 1
Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,,,STARTER 1,"33,855",1791, € 	18.90 
,,,STARTER AO,,,
,MULTI FLYING & CRAWLING,LIQUID TRIGGER,STARTER 1,"3,896",265, € 	14.70 
,,OIL SPRAY,STARTER 1,722,45, € 	16.05 
,OTHER CRAWLING,,STARTER 1,,,
,,LIQUID BOTTLE,STARTER 1,"11,943",1175, € 	10.16 
,,LIQUID PUMP,STARTER 1,"19,006",2224, € 	8.55 
,,LIQUID TRIGGER,STARTER 1,"2,534",137, € 	18.50 
,,LOTION BOTTLE,STARTER 1,"57,299",4253, € 	13.47 
,,LOTION TUBE,STARTER 1,"56,752",5943, € 	9.55 
,OTHER FLYING,AEROSOL,STARTER 1,"4,425",218, € 	20.30 
,,LIQUID PUMP,STARTER 1,"1,941",218, € 	8.91 
,,LOTION TUBE,STARTER 1,"16,301",746, € 	21.85 
,,OIL SPRAY,STARTER 1,"1,429",53, € 	26.95 
,,PASTE,STARTER 1,,,
PERSONAL AFTERBITE,MOSQUITO,ASSORTED FORM,STARTER 1,"1,025",23, € 	44.55 
,,GEL TUBE,STARTER 1,"85,822",14930, € 	5.75 
,,,STARTER 4,673,33, € 	20.40 
,,LOTION BOTTLE,STARTER 1,6,1, € 	5.60 
,,LOTION TRIGGER,STARTER 1,121,6, € 	20.17 
,,ROLL ON,STARTER 1,"1,100",137, € 	8.03 
,,WRISTBAND,STARTER 1,941,19, € 	49.52 
,OTHER CRAWLING,GEL TUBE,STARTER 1,,,
,OTHER FLYING,ALL OTHER FORM,STARTER 1,"1,424",144, € 	9.89 
,,GLUE STRIP,STARTER AO,"10,860",1013, € 	10.72 
,,LIQUID PUMP,STARTER 1,,,
,,LOTION BOTTLE,STARTER 1,,,
,,PAPER/CARD,STARTER 1,"2,954",259, € 	11.41 
Grand Total,,,,"20,277,594",1494681, € 	13.57 
