Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,,LOTION BOTTLE,STARTER 1,"10,785",783, € 	13.77 
,OTHER CRAWLING,,STARTER 1,"2,318",195, € 	11.89 
,,LIQUID PUMP,STARTER 1,"163,721",18860, € 	8.68 
,,,STARTER 2,"10,982",614, € 	17.89 
,,,STARTER 3,"10,731",413, € 	25.98 
,,,STARTER 6,"13,687",392, € 	34.92 
,,LIQUID TRIGGER,STARTER 1,"5,479",392, € 	13.98 
,OTHER FLYING,LIQUID PUMP,STARTER 1,"3,319",369, € 	8.99 
PERSONAL AFTERBITE,ALL,,STARTER 3,0,0,
,,GEL BOTTLE,STARTER 1,0,0,
,,,STARTER 2,0,0,
,,,STARTER 3,0,0,
,,,STARTER 5,0,0,
,,GEL TUBE,STARTER 1,0,0,
,,LOTION TUBE,STARTER 1,0,0,
,,PEN,STARTER 1,0,0,
,,,STARTER 2,0,0,
,,,STARTER 3,0,0,
,MOSQUITO,,STARTER 3,686,66, € 	10.39 
,,LOTION TUBE,STARTER 1,"3,466",439, € 	7.89 
,,PEN,STARTER 1,126,16, € 	7.90 
,,,STARTER 2,"3,869",293, € 	13.20 
,,,STARTER 3,"5,567",320, € 	17.40 
,OTHER FLYING,GEL BOTTLE,STARTER 1,"61,841",15092, € 	4.10 
,,,STARTER 2,"22,257",1652, € 	13.47 
,,,STARTER 3,"6,406",331, € 	19.35 
,,,STARTER 5,"7,980",346, € 	23.06 
,,GEL TUBE,STARTER 1,"1,276",137, € 	9.32 
Grand Total,,,,"55,946,829",3073647, € 	18.20 
